회사명,재무기준일,발행한도(억원),평가종류,직전등급,현재등급,평가일,유효일,리포트,Type
세아제강지주,2020.12.31,200,본,,A2,2021.07.13,2022.06.30,S,전자단기사채
오케이캐피탈,2020.12.31,3000,수시,A2-,A2-,2021.07.09,2022.06.30,S,전자단기사채
흥국증권,2020.12.31,300,본,,A3,2021.07.07,2022.06.30,S,전자단기사채
강원도개발공사,2020.12.31,2000,본,,A1,2021.06.30,2022.06.30,S,전자단기사채
메가박스중앙,2020.12.31,500,본,A3+,A3,2021.06.30,2022.06.30,S,전자단기사채
부국증권,2020.12.31,9000,본,A2+,A2+,2021.06.30,2022.06.30,S,전자단기사채
삼성카드,2020.12.31,15000,본,A1,A1,2021.06.30,2022.06.30,S,전자단기사채
신한금융지주회사,2020.12.31,4000,본,A1,A1,2021.06.30,2022.06.30,S,전자단기사채
우리카드,2020.12.31,29000,본,A1,A1,2021.06.30,2022.06.30,S,전자단기사채
제이콘텐트리,2020.12.31,1500,본,A3,A3,2021.06.30,2022.06.30,S,전자단기사채
한국증권금융,2020.12.31,20000,본,A1,A1,2021.06.30,2022.06.30,S,전자단기사채
한국지역난방공사,2020.12.31,3000,본,,A1,2021.06.30,2022.06.30,S,전자단기사채
한국토지주택공사,2020.12.31,7000,본,,A1,2021.06.30,2022.06.30,S,전자단기사채
한국해양진흥공사,2020.12.31,2000,본,A1,A1,2021.06.30,2022.06.30,S,전자단기사채
롯데렌탈,2020.12.31,1000,본,A1,A1,2021.06.29,2022.06.30,S,전자단기사채
롯데오토리스,2020.12.31,1000,본,,A2,2021.06.29,2022.06.30,S,전자단기사채
신한캐피탈,2020.12.31,4000,본,A1,A1,2021.06.29,2022.06.30,S,전자단기사채
우리에프아이에스,2020.12.31,500,본,A2+,A2+,2021.06.29,2022.06.30,S,전자단기사채
지에스리테일,2020.12.31,5000,본,A1,A1,2021.06.29,2022.06.30,S,전자단기사채
케이비증권,2020.12.31,30000,본,A1,A1,2021.06.29,2022.06.30,S,전자단기사채
하나금융투자,2020.12.31,26582,본,A1,A1,2021.06.29,2022.06.30,S,전자단기사채
하이투자증권,2020.12.31,10000,본,A1,A1,2021.06.29,2022.06.30,S,전자단기사채
한국남동발전,2020.12.31,5000,본,,A1,2021.06.29,2022.06.30,S,전자단기사채
한국서부발전,2020.12.31,5000,본,A1,A1,2021.06.29,2022.06.30,S,전자단기사채
현대차증권,2020.12.31,10000,본,A1,A1,2021.06.29,2022.06.30,S,전자단기사채
현대카드,2020.12.31,15000,본,A1,A1,2021.06.29,2022.06.30,S,전자단기사채
대동,2020.12.31,200,본,A3,A3,2021.06.28,2022.06.30,S,전자단기사채
우리금융캐피탈,2020.12.31,3000,본,A1,A1,2021.06.28,2022.06.30,S,전자단기사채
유진투자증권,2020.12.31,4500,본,A2+,A2+,2021.06.28,2022.06.30,S,전자단기사채
AJ네트웍스,2020.12.31,300,본,A3+,A3+,2021.06.25,2022.06.30,S,전자단기사채
신한금융투자,2020.12.31,30000,본,A1,A1,2021.06.25,2022.06.30,S,전자단기사채
애큐온캐피탈,2020.12.31,8500,본,A2,A2,2021.06.25,2022.06.30,S,전자단기사채
에스케이브로드밴드,2020.12.31,2000,본,A1,A1,2021.06.25,2022.06.30,S,전자단기사채
이베스트투자증권,2020.12.31,6000,본,A2+,A2+,2021.06.25,2022.06.30,S,전자단기사채
지에스칼텍스,2020.12.31,8000,본,A1,A1,2021.06.25,2022.06.30,S,전자단기사채
서울신문사,2020.12.31,200,본,A3+,A3+,2021.06.24,2022.06.30,S,전자단기사채
신세계디에프,2020.12.31,2000,본,A2+,A2+,2021.06.24,2022.06.30,S,전자단기사채
엠캐피탈,2020.12.31,1000,본,A2-,A2-,2021.06.24,2022.06.30,S,전자단기사채
한무쇼핑,2020.12.31,2200,본,A1,A1,2021.06.24,2022.06.30,S,전자단기사채
현대그린푸드,2020.12.31,1000,본,A1,A1,2021.06.24,2022.06.30,S,전자단기사채
현대백화점,2020.12.31,5000,본,A1,A1,2021.06.24,2022.06.30,S,전자단기사채
현대엘앤씨,2020.12.31,2000,본,A2,A2,2021.06.24,2022.06.30,S,전자단기사채
현대홈쇼핑,2020.12.31,4000,본,A1,A1,2021.06.24,2022.06.30,S,전자단기사채
롯데쇼핑,2020.12.31,10000,본,A1,A1,2021.06.23,2022.06.30,S,전자단기사채
부산롯데호텔,2020.12.31,1000,본,A2+,A2+,2021.06.23,2022.06.30,S,전자단기사채
케이티비네트워크,2020.12.31,150,본,A3+,A3+,2021.06.23,2022.06.30,S,전자단기사채
호텔롯데,2020.12.31,5000,본,A1,A1,2021.06.23,2022.06.30,S,전자단기사채
케이프투자증권,2020.12.31,2000,본,A2-,A2-,2021.06.22,2022.06.30,S,전자단기사채
키움증권,2020.12.31,30000,본,A1,A1,2021.06.22,2022.06.30,S,전자단기사채
포스코기술투자,2020.12.31,1000,본,A2-,A2-,2021.06.22,2022.06.30,S,전자단기사채
비엔케이투자증권,2020.12.31,10000,본,A1,A1,2021.06.21,2022.06.30,S,전자단기사채
중소벤처기업진흥공단,2020.12.31,10000,본,,A1,2021.06.21,2022.06.30,S,전자단기사채
케이씨씨,2020.12.31,5000,본,,A1,2021.06.21,2022.06.30,S,전자단기사채
케이씨씨글라스,2020.12.31,3000,본,A1,A1,2021.06.21,2022.06.30,S,전자단기사채
디비캐피탈,2020.12.31,500,본,A3,A3,2021.06.18,2022.06.30,S,전자단기사채
미래에셋캐피탈,2020.12.31,5000,본,,A1,2021.06.18,2022.06.30,S,전자단기사채
신세계,2020.12.31,8000,본,A1,A1,2021.06.18,2022.06.30,S,전자단기사채
아이비케이투자증권,2020.12.31,10000,본,A1,A1,2021.06.18,2022.06.30,S,전자단기사채
SK텔레콤,2020.12.31,8000,본,A1,A1,2021.06.16,2022.06.30,S,전자단기사채
교보증권,2020.12.31,7000,본,A1,A1,2021.06.16,2022.06.30,S,전자단기사채
대신에프앤아이,2020.12.31,5000,본,A2,A2,2021.06.16,2022.06.30,S,전자단기사채
롯데하이마트,2020.12.31,2000,본,A1,A1,2021.06.16,2022.06.30,S,전자단기사채
하나캐피탈,2020.12.31,10000,본,A1,A1,2021.06.16,2022.06.30,S,전자단기사채
엘지이노텍,2020.12.31,2000,본,A1,A1,2021.06.15,2022.06.30,S,전자단기사채
한국투자증권,2020.12.31,40000,본,A1,A1,2021.06.15,2022.06.30,S,전자단기사채
SK증권,2020.12.31,5000,본,A2+,A2+,2021.06.14,2022.06.30,S,전자단기사채
대신증권,2020.12.31,20000,본,A1,A1,2021.06.14,2022.06.30,S,전자단기사채
한국렌탈,2020.12.31,300,본,A3,A3,2021.06.14,2022.06.30,S,전자단기사채
한화투자증권,2020.12.31,10000,본,A1,A1,2021.06.14,2022.06.30,S,전자단기사채
디지비캐피탈,2020.12.31,3000,본,A2+,A2+,2021.06.11,2022.06.30,S,전자단기사채
아이비케이캐피탈,2020.12.31,15000,본,A1,A1,2021.06.11,2022.06.30,S,전자단기사채
두산,2020.12.31,2000,본,,A3,2021.06.10,2022.06.30,S,전자단기사채
한국전력공사,2020.12.31,44500,본,A1,A1,2021.06.10,2022.06.30,S,전자단기사채
한국자산관리공사,2020.12.31,6000,본,,A1,2021.06.09,2022.06.30,S,전자단기사채
한국동서발전,2020.12.31,5000,본,,A1,2021.06.08,2022.06.30,S,전자단기사채
롯데캐피탈,2020.12.31,10000,본,A1,A1,2021.06.07,2022.06.30,S,전자단기사채
비엔케이캐피탈,2020.12.31,1000,본,A1,A1,2021.06.07,2022.06.30,S,전자단기사채
제이티비씨스튜디오,2020.12.31,2000,본,A3,A3,2021.06.07,2022.06.30,S,전자단기사채
DB금융투자,2020.12.31,5000,본,A1,A1,2021.06.04,2022.06.30,S,전자단기사채
케이비캐피탈,2020.12.31,2000,본,A1,A1,2021.06.02,2022.06.30,S,전자단기사채
롯데카드,2020.12.31,10000,본,A1,A1,2021.05.31,2022.06.30,S,전자단기사채
산은캐피탈,2020.12.31,5000,본,A1,A1,2021.05.31,2022.06.30,S,전자단기사채
신한카드,2020.12.31,35000,본,A1,A1,2021.05.31,2022.06.30,S,전자단기사채
케이비국민카드,2020.12.31,21000,본,A1,A1,2021.05.31,2022.06.30,S,전자단기사채
하나카드,2020.12.31,14000,본,A1,A1,2021.05.31,2022.06.30,S,전자단기사채
현대캐피탈,2020.12.31,20000,본,A1,A1,2021.05.31,2022.06.30,S,전자단기사채
엔에이치투자증권,2020.12.31,40000,본,A1,A1,2021.05.28,2022.06.30,S,전자단기사채
오케이캐피탈,2020.12.31,2000,본,A2-,A2-,2021.05.28,2022.06.30,S,전자단기사채
폴라리스쉬핑,2020.12.31,300,본,A3↓,A3,2021.05.28,2022.06.30,S R,전자단기사채
메리츠캐피탈,2020.12.31,4500,본,A2+,A2+,2021.05.24,2022.06.30,S,전자단기사채
케이티비투자증권,2020.12.31,5000,본,A2-,A2-,2021.05.21,2022.06.30,S,전자단기사채
현대커머셜,2020.12.31,5000,본,A1,A1,2021.05.21,2022.06.30,S,전자단기사채
에스케이디앤디,2020.12.31,600,본,A3,A3,2021.05.12,2022.06.30,S,전자단기사채
한국남부발전,2020.12.31,5000,본,A1,A1,2021.05.12,2022.06.30,S,전자단기사채
우리종합금융,2020.12.31,2000,본,A2,A2,2021.05.11,2022.06.30,S,전자단기사채
아이에스동서,2020.12.31,1500,본,A3,A3,2021.05.07,2022.06.30,S,전자단기사채
제이티비씨,2020.12.31,900,본,A3+,A3+,2021.05.04,2022.06.30,S,전자단기사채
엔에이치농협캐피탈,2020.12.31,9350,본,A1,A1,2021.04.29,2022.06.30,S,전자단기사채
유안타증권,2020.12.31,10000,본,A1,A1,2021.04.29,2022.06.30,S,전자단기사채
파르나스호텔,2020.12.31,1000,본,,A2+,2021.04.27,2022.06.30,S,전자단기사채
한화건설,2020.12.31,3000,본,A2-,A2-,2021.04.20,2022.06.30,S,전자단기사채
에스케이씨하이테크앤마케팅,2020.12.31,600,본,A3,A3,2021.04.19,2022.06.30,S,전자단기사채
메리츠증권,2020.12.31,35000,본,A1,A1,2021.04.16,2022.06.30,S,전자단기사채
엘에스엠트론,2020.12.31,500,본,A2-,A2-,2021.04.16,2022.06.30,S,전자단기사채
씨제이씨지브이,2020.12.31,1000,본,A2-,A2-,2021.04.15,2022.06.30,S R,전자단기사채
케이씨씨건설,2020.12.31,1000,본,A2-,A2,2021.04.15,2022.06.30,S R,전자단기사채
CJ제일제당,2020.12.31,7000,본,A1,A1,2021.04.13,2022.06.30,S R,전자단기사채
이마트,2020.12.31,8000,본,A1,A1,2021.04.02,2022.06.30,S R,전자단기사채
신영증권,2020.09.30,7000,정기,A1,A1,2021.03.22,2021.09.30,S,전자단기사채
노무라금융투자,2020.09.30,2500,정기,A1,A1,2021.03.08,2021.09.30,S,전자단기사채
홈플러스,2020.08.31,5000,정기,A2-,A2-,2021.02.25,2021.08.31,S,전자단기사채
신영증권,2020.03.31,7000,본,,A1,2020.09.24,2021.09.30,S,전자단기사채
노무라금융투자,2020.03.31,2500,본,,A1,2020.08.28,2021.09.30,S,전자단기사채
홈플러스,2020.02.29,5000,본,A2,A2-,2020.08.26,2021.08.31,S R,전자단기사채
